store,product,Date,number_sold,number_sold_lag_1,number_sold_lag_7,number_sold_lag_30,number_sold_rolling_mean_7,number_sold_rolling_std_7,number_sold_rolling_mean_30,number_sold_rolling_std_30
0,0,2010-01-01,801.0,,,,,,,
0,0,2010-01-02,810.0,801.0,,,,,,
0,0,2010-01-03,818.0,810.0,,,,,,
0,0,2010-01-04,796.0,818.0,,,,,,
0,0,2010-01-05,808.0,796.0,,,,,,
0,0,2010-01-06,812.0,808.0,,,,,,
0,0,2010-01-07,830.0,812.0,,,810.7142857142857,11.146214390459903,,
0,0,2010-01-08,812.0,830.0,801.0,,812.2857142857143,10.291003930849618,,
0,0,2010-01-09,817.0,812.0,810.0,,813.2857142857143,10.37166469624954,,
0,0,2010-01-10,832.0,817.0,818.0,,815.2857142857143,12.552745857836422,,
0,0,2010-01-11,834.0,832.0,796.0,,820.7142857142857,10.934872133291291,,
0,0,2010-01-12,826.0,834.0,808.0,,823.2857142857143,9.464218328601193,,
0,0,2010-01-13,822.0,826.0,812.0,,824.7142857142857,8.138678961483713,,
0,0,2010-01-14,811.0,822.0,830.0,,822.0,9.183318209304042,,
0,0,2010-01-15,836.0,811.0,812.0,,825.4285714285714,9.30693545798242,,
0,0,2010-01-16,841.0,836.0,817.0,,828.8571428571429,10.073539123674156,,
0,0,2010-01-17,818.0,841.0,832.0,,826.8571428571429,10.71492061610943,,
0,0,2010-01-18,827.0,818.0,834.0,,825.8571428571429,10.253919111386631,,
0,0,2010-01-19,822.0,827.0,826.0,,825.2857142857143,10.355582805332494,,
0,0,2010-01-20,817.0,822.0,822.0,,824.5714285714286,10.78358540958048,,
0,0,2010-01-21,834.0,817.0,811.0,,827.8571428571429,9.370673604897725,,
0,0,2010-01-22,825.0,834.0,836.0,,826.2857142857143,8.67398958023919,,
0,0,2010-01-23,821.0,825.0,841.0,,823.4285714285714,5.855400437691401,,
0,0,2010-01-24,840.0,821.0,818.0,,826.5714285714286,7.976154939508783,,
0,0,2010-01-25,812.0,840.0,827.0,,824.4285714285714,9.675693650537433,,
0,0,2010-01-26,835.0,812.0,822.0,,826.2857142857143,10.355582805332487,,
0,0,2010-01-27,833.0,835.0,817.0,,828.5714285714286,9.710083124552371,,
0,0,2010-01-28,833.0,833.0,834.0,,828.4285714285714,9.623879031817163,,
0,0,2010-01-29,833.0,833.0,825.0,,829.5714285714286,9.623879031817163,,
0,0,2010-01-30,840.0,833.0,821.0,,832.2857142857143,9.481812163545758,823.2,11.972382011716904
0,0,2010-01-31,826.0,840.0,840.0,801.0,830.2857142857143,9.050124966251262,824.0333333333333,11.220312041064203
0,0,2010-02-01,835.0,826.0,812.0,810.0,833.5714285714286,4.1576092031017655,824.8666666666667,11.069477554669554
0,0,2010-02-02,822.0,835.0,835.0,818.0,831.7142857142857,5.936168397046803,825.0,11.007834200836383
0,0,2010-02-03,833.0,822.0,833.0,796.0,831.7142857142857,5.936168397046803,826.2333333333333,9.633573953961038
0,0,2010-02-04,835.0,833.0,833.0,808.0,832.0,6.055300708195145,827.1333333333333,9.118882770850028
0,0,2010-02-05,843.0,835.0,833.0,812.0,833.4285714285714,7.3678839761302,828.1666666666666,9.101281960984013
0,0,2010-02-06,833.0,843.0,840.0,830.0,832.4285714285714,6.778818551368881,828.2666666666667,9.13852524634914
0,0,2010-02-07,839.0,833.0,826.0,812.0,834.2857142857143,6.499084184567631,829.1666666666666,8.804713993409829
0,0,2010-02-08,839.0,839.0,835.0,817.0,834.8571428571429,6.743603671346077,829.9,8.671594531811195
0,0,2010-02-09,855.0,839.0,822.0,832.0,839.5714285714286,7.721337165222704,830.6666666666666,9.806167423628356
0,0,2010-02-10,840.0,855.0,833.0,834.0,840.5714285714286,7.161404491139717,830.8666666666667,9.93681185718325
0,0,2010-02-11,849.0,840.0,835.0,826.0,842.5714285714286,7.299706452023681,831.6333333333333,10.423724046064633
0,0,2010-02-12,845.0,849.0,843.0,822.0,842.8571428571429,7.3581830055292174,832.4,10.535981043629713
0,0,2010-02-13,861.0,845.0,833.0,811.0,846.8571428571429,8.610624666239891,834.0666666666667,10.979395540592511
0,0,2010-02-14,853.0,861.0,839.0,836.0,848.8571428571429,8.09173593712696,834.6333333333333,11.508567523231681
0,0,2010-02-15,844.0,853.0,839.0,841.0,849.5714285714286,7.253898787483116,834.7333333333333,11.57861683518776
0,0,2010-02-16,842.0,844.0,855.0,818.0,847.7142857142857,7.296444013222914,835.5333333333333,11.205704622733721
0,0,2010-02-17,846.0,842.0,840.0,827.0,848.5714285714286,6.553806600166217,836.1666666666666,11.243644437187047
0,0,2010-02-18,843.0,846.0,849.0,822.0,847.7142857142857,6.872997543873889,836.8666666666667,10.98190779648861
0,0,2010-02-19,843.0,843.0,845.0,817.0,847.4285714285714,7.044078904942002,837.7333333333333,10.368830391040452
0,0,2010-02-20,849.0,843.0,861.0,834.0,845.7142857142857,3.9880774697544847,838.2333333333333,10.54279729069317
0,0,2010-02-21,858.0,849.0,853.0,825.0,846.4285714285714,5.623081683476488,839.3333333333334,10.832051206181475
0,0,2010-02-22,870.0,858.0,844.0,821.0,850.1428571428571,10.350983390135323,840.9666666666667,11.636693846542764
0,0,2010-02-23,855.0,870.0,842.0,840.0,852.0,9.797958971132703,841.4666666666667,11.912709334075375
0,0,2010-02-24,837.0,855.0,846.0,812.0,850.7142857142857,11.205865810879075,842.3,10.58023531450747
0,0,2010-02-25,856.0,837.0,843.0,835.0,852.5714285714286,10.783585409580336,843.0,10.77353078230383
0,0,2010-02-26,846.0,856.0,843.0,833.0,853.0,10.392304845413243,843.4333333333333,10.617757842840579
0,0,2010-02-27,853.0,846.0,849.0,833.0,853.5714285714286,10.244626930854066,844.1,10.567843221056767
0,0,2010-02-28,860.0,853.0,858.0,833.0,853.8571428571429,10.415190371576978,845.0,10.738265447808361
0,0,2010-03-01,848.0,860.0,870.0,840.0,850.7142857142857,7.696628822939021,845.2666666666667,10.7091109561566
0,0,2010-03-02,861.0,848.0,855.0,826.0,851.5714285714286,8.541216596737316,846.4333333333333,10.440912013716556
0,0,2010-03-03,848.0,861.0,837.0,835.0,853.1428571428571,6.06708528121396,846.8666666666667,10.217406828489347
0,0,2010-03-04,868.0,848.0,856.0,822.0,854.8571428571429,8.295150620062453,848.4,9.800070372724672
0,0,2010-03-05,861.0,868.0,846.0,833.0,857.0,7.527726527090679,849.3333333333334,9.61440490145942
0,0,2010-03-06,846.0,861.0,853.0,835.0,856.0,8.544003745317427,849.7,9.251840450642758
0,0,2010-03-07,868.0,846.0,860.0,843.0,857.1428571428571,9.63376996868421,850.5333333333333,9.740542126573462
0,0,2010-03-08,850.0,868.0,848.0,833.0,857.4285714285714,9.342682392424143,851.1,9.162705518230164
0,0,2010-03-09,879.0,850.0,861.0,839.0,860.0,12.44989959798864,852.4333333333333,10.193585993275972
0,0,2010-03-10,876.0,879.0,848.0,839.0,864.0,12.44989959798864,853.6666666666666,10.736124431847177
0,0,2010-03-11,846.0,876.0,868.0,855.0,860.8571428571429,13.95741823581717,853.3666666666667,10.822974711658949
0,0,2010-03-12,864.0,846.0,861.0,840.0,861.2857142857143,14.00850082050514,854.1666666666666,10.687031565321366
0,0,2010-03-13,860.0,864.0,846.0,849.0,863.2857142857143,12.365466505747351,854.5333333333333,10.692354127208086
0,0,2010-03-14,867.0,860.0,868.0,845.0,863.1428571428571,12.307566391297195,855.2666666666667,10.770116169237253
0,0,2010-03-15,867.0,867.0,850.0,861.0,865.5714285714286,10.8759236060995,855.4666666666667,10.934706950438557
0,0,2010-03-16,871.0,867.0,879.0,853.0,864.4285714285714,9.571783930858745,856.0666666666667,11.282984850049761
0,0,2010-03-17,872.0,871.0,876.0,844.0,863.8571428571429,8.858678822273014,857.0,11.407801323414562
0,0,2010-03-18,857.0,872.0,846.0,842.0,865.4285714285714,5.50324579550218,857.5,11.050823030670117
0,0,2010-03-19,872.0,857.0,864.0,846.0,866.5714285714286,5.9681695367211285,858.3666666666667,11.137025335939152
0,0,2010-03-20,860.0,872.0,860.0,843.0,866.5714285714286,5.9681695367211285,858.9333333333333,10.754095718035122
0,0,2010-03-21,873.0,860.0,867.0,843.0,867.4285714285714,6.451282633635445,859.9333333333333,10.615321826081528
0,0,2010-03-22,866.0,873.0,867.0,849.0,867.2857142857143,6.4733887497013916,860.5,10.46422476822908
0,0,2010-03-23,875.0,866.0,871.0,858.0,867.8571428571429,7.0101966550772215,861.0666666666667,10.779717011619276
0,0,2010-03-24,874.0,875.0,872.0,870.0,868.1428571428571,7.244045173533179,861.2,10.917875251165832
0,0,2010-03-25,870.0,874.0,857.0,855.0,870.0,5.322906474223734,861.7,10.967506867860692
0,0,2010-03-26,864.0,870.0,872.0,837.0,868.8571428571429,5.669467095138323,862.6,9.929405996750065
0,0,2010-03-27,854.0,864.0,860.0,856.0,868.0,7.416198487095588,862.5333333333333,9.981822559493613
0,0,2010-03-28,883.0,854.0,873.0,846.0,869.4285714285714,9.271050693011025,863.7666666666667,10.152911365486434
0,0,2010-03-29,862.0,883.0,866.0,853.0,868.8571428571429,9.633769968684271,864.0666666666667,9.954840559985593
0,0,2010-03-30,866.0,862.0,875.0,860.0,867.5714285714286,9.271050693011007,864.2666666666667,9.930563526509701
0,0,2010-03-31,875.0,866.0,874.0,848.0,867.7142857142857,9.393513466115554,865.1666666666666,9.624262921472578
0,0,2010-04-01,852.0,875.0,870.0,861.0,865.1428571428571,10.991338581334054,864.8666666666667,9.895081792394812
0,0,2010-04-02,873.0,852.0,864.0,848.0,866.4285714285714,11.355720186424984,865.7,9.469187781504942
0,0,2010-04-03,850.0,873.0,854.0,868.0,865.8571428571429,12.15769401693934,865.1,9.879794776593736
0,0,2010-04-04,854.0,850.0,883.0,861.0,861.7142857142857,10.111285538352345,864.8666666666667,10.060963597278823
0,0,2010-04-05,863.0,854.0,862.0,846.0,861.8571428571429,10.123052428797774,865.4333333333333,9.420020255244587
0,0,2010-04-06,871.0,863.0,866.0,868.0,862.5714285714286,10.627905765125096,865.5333333333333,9.464027477346892
0,0,2010-04-07,848.0,871.0,875.0,850.0,858.7142857142857,10.25856204534011,865.4666666666667,9.583510742986753
0,0,2010-04-08,880.0,848.0,852.0,879.0,862.7142857142857,12.432675841162535,865.5,9.633812580054132
0,0,2010-04-09,883.0,880.0,873.0,876.0,864.1428571428571,14.252819269984979,865.7333333333333,9.975602421818143
