iter	RMSE
0	28.66837227
1	21.15492073
2	16.15642813
3	12.40609117
4	9.803663306
5	7.895377221
6	6.552343465
7	5.679343611
8	5.048190822
9	4.550725104
10	4.092162824
11	3.887823946
12	3.582522483
13	3.378207948
14	3.219160534
15	3.070475503
16	2.933581867
17	2.793072777
18	2.696119923
19	2.589181407
20	2.517314914
21	2.394545485
22	2.32832294
23	2.257214008
24	2.187282281
25	2.069962393
26	2.012490088
27	1.947451049
28	1.885095381
29	1.834660222
30	1.811969523
31	1.78754797
32	1.717580605
33	1.694686224
34	1.653791391
35	1.610357491
36	1.565631846
37	1.520476782
38	1.483065546
39	1.467503626
40	1.453254261
41	1.419879898
42	1.388073477
43	1.366614856
44	1.355114053
45	1.34803535
46	1.334228074
47	1.31267044
48	1.30135664
49	1.298389635
50	1.272240789
51	1.245168434
52	1.23719304
53	1.225602388
54	1.211094246
55	1.196964382
56	1.18214237
57	1.16840399
58	1.151309422
59	1.143041745
60	1.128176207
61	1.103071452
62	1.095454649
63	1.080570279
64	1.061729564
65	1.043096168
66	1.03138656
67	1.020084019
68	1.000568842
69	0.9910381527
70	0.9831632677
71	0.9734401142
72	0.9683397217
73	0.9673654244
74	0.9586982996
75	0.9540985257
76	0.9533959131
77	0.9499247894
78	0.9377777027
79	0.9294025575
80	0.9272684504
81	0.9106609882
82	0.9035664994
83	0.8976501828
84	0.8905642407
85	0.889665502
86	0.8823224905
87	0.876319762
88	0.864795318
89	0.8627772869
90	0.8536699589
91	0.8493318577
92	0.8363529955
93	0.8312858266
94	0.8143264054
95	0.8068541093
96	0.8039488946
97	0.7988737538
98	0.7899826902
99	0.7833135094
