iter	Passed	Remaining
0	166	16490
1	176	8663
2	186	6014
3	193	4649
4	201	3824
5	208	3262
6	215	2869
7	222	2561
8	230	2325
9	235	2119
10	239	1941
11	245	1797
12	249	1667
13	252	1551
14	256	1453
15	261	1371
16	265	1294
17	268	1223
18	271	1158
19	276	1105
20	279	1052
21	283	1003
22	286	957
23	290	919
24	293	881
25	296	844
26	299	811
27	302	778
28	307	752
29	310	725
30	313	698
31	316	673
32	319	649
33	324	629
34	327	608
35	330	587
36	333	568
37	338	551
38	341	534
39	344	516
40	347	499
41	351	484
42	355	470
43	358	456
44	361	442
45	364	428
46	368	415
47	372	403
48	375	390
49	378	378
50	381	366
51	385	356
52	388	344
53	392	334
54	395	323
55	401	315
56	405	305
57	408	295
58	411	286
59	416	277
60	420	268
61	424	259
62	427	251
63	433	243
64	437	235
65	441	227
66	444	219
67	450	212
68	455	204
69	459	196
70	464	189
71	469	182
72	474	175
73	477	167
74	483	161
75	487	153
76	490	146
77	494	139
78	499	132
79	503	125
80	506	118
81	510	112
82	516	105
83	521	99
84	525	92
85	532	86
86	537	80
87	541	73
88	547	67
89	552	61
90	556	55
91	564	49
92	569	42
93	573	36
94	578	30
95	584	24
96	588	18
97	592	12
98	597	6
99	601	0
