iter	MultiClass
0	1.927035904
1	1.905269888
2	1.885797967
3	1.867958333
4	1.851184769
5	1.834782832
6	1.816437775
7	1.802763111
8	1.788841346
9	1.771342898
10	1.755336446
11	1.740498632
12	1.727465138
13	1.718231953
14	1.704807335
15	1.691475348
16	1.677820121
17	1.667479012
18	1.656373293
19	1.644986902
20	1.633876611
21	1.620365783
22	1.610700272
23	1.600173133
24	1.589177422
25	1.576540484
26	1.568552671
27	1.55608039
28	1.547236323
29	1.53554118
30	1.525424556
31	1.516802138
32	1.507336346
33	1.498343011
34	1.488664766
35	1.479759468
36	1.469824354
37	1.461169907
38	1.453827746
39	1.447003635
40	1.437521969
41	1.429489878
42	1.421128274
43	1.414111538
44	1.406170436
45	1.400625595
46	1.396814404
47	1.391738381
48	1.384121129
49	1.379095818
50	1.37271329
51	1.365664427
52	1.360063673
53	1.354799292
54	1.347431271
55	1.341741232
56	1.335651741
57	1.329210435
58	1.320864828
59	1.314637172
60	1.307627958
61	1.300604364
62	1.293841953
63	1.288362929
64	1.282127325
65	1.277921518
66	1.272250085
67	1.265975316
68	1.261052983
69	1.25634533
70	1.251965848
71	1.247230292
72	1.241138412
73	1.234580619
74	1.230622636
75	1.222980009
76	1.217771659
77	1.217046305
78	1.212311992
79	1.206577761
80	1.202089391
81	1.196313492
82	1.191613954
83	1.185371299
84	1.180534326
85	1.175162994
86	1.167909611
87	1.161859469
88	1.157001674
89	1.151661406
90	1.147022443
91	1.141539892
92	1.138229281
93	1.134363219
94	1.129857347
95	1.126610342
96	1.121597067
97	1.117041972
98	1.11367809
99	1.10887546
100	1.104835137
101	1.100397337
102	1.097287804
103	1.093808434
104	1.089991235
105	1.086828313
106	1.083012264
107	1.078753018
108	1.074853994
109	1.07021637
110	1.067700033
111	1.063067473
112	1.059294583
113	1.054187079
114	1.04996341
115	1.045694388
116	1.04282777
117	1.039739231
118	1.035438165
119	1.031587125
120	1.026835216
121	1.024035323
122	1.018770127
123	1.013128222
124	1.009866434
125	1.005160016
126	1.00093752
127	0.9978842344
128	0.9935618428
129	0.9886416057
130	0.9838497239
131	0.9792860375
132	0.9764734762
133	0.9722489631
134	0.967888766
135	0.9654277924
136	0.9611159386
137	0.9576045245
138	0.9554824753
139	0.9522796185
140	0.9488274013
141	0.9458332626
142	0.9419748575
143	0.9388726403
144	0.934596645
145	0.9322368373
146	0.9293379948
147	0.9264027486
148	0.9232293548
149	0.9202983252
150	0.9179204994
151	0.9144704724
152	0.9110114273
153	0.907856482
154	0.9032281777
155	0.899315081
156	0.8962337934
157	0.8938380581
158	0.8907614987
159	0.8883395864
160	0.8861221741
161	0.8829959261
162	0.8795705218
163	0.8761003013
164	0.8724134641
165	0.8681530365
166	0.8650081566
167	0.8616638148
168	0.8591183418
169	0.8563177367
170	0.8530447188
171	0.849613974
172	0.8460660996
173	0.8432398851
174	0.8398014316
175	0.8366356643
176	0.8334778226
177	0.8307524267
178	0.8279591606
179	0.8255449907
180	0.8221857351
181	0.8192069471
182	0.8162996071
183	0.8133897699
184	0.8102129011
185	0.8076883126
186	0.8040403639
187	0.8019101286
188	0.7983585504
189	0.7953935357
190	0.7912939219
191	0.7890345363
192	0.7861973449
193	0.7824742983
194	0.7799837622
195	0.7764716838
196	0.773388942
197	0.7704253288
198	0.7683249784
199	0.7654444683
200	0.7621244133
201	0.7597673448
202	0.7569474405
203	0.754412675
204	0.7520647571
205	0.7496661959
206	0.7471991133
207	0.7448091551
208	0.7424300721
209	0.7402013139
210	0.7377966938
211	0.7352954221
212	0.7329801069
213	0.7303467533
214	0.7278694001
215	0.7252719966
216	0.7228486735
217	0.7213948621
218	0.7191788037
219	0.71691713
220	0.7143486168
221	0.7121866339
222	0.7103263299
223	0.7085822222
224	0.7069464903
225	0.7050583511
226	0.7022822196
227	0.7007328553
228	0.698769287
229	0.6960595731
230	0.6941062316
231	0.6915570503
232	0.6895432222
233	0.6875498712
234	0.6853704262
235	0.6829591464
236	0.680205132
237	0.6779114527
238	0.675317509
239	0.6729004375
240	0.6696960947
241	0.667670732
242	0.6664131186
243	0.6649180755
244	0.6632553792
245	0.6619381931
246	0.6602686672
247	0.658161892
248	0.6561920981
249	0.654927481
250	0.6530190973
251	0.6508491828
252	0.6486989247
253	0.647518484
254	0.6462334731
255	0.6442869924
256	0.642176056
257	0.6402400981
258	0.6384496374
259	0.6365829418
260	0.63493459
261	0.6327330016
262	0.6302629267
263	0.6284882381
264	0.6266027252
265	0.6252562823
266	0.6240386717
267	0.6223088124
268	0.6203993244
269	0.6187250814
270	0.6171409253
271	0.615682548
272	0.6135158096
273	0.6117725099
274	0.6097789225
275	0.6075515054
276	0.6059203119
277	0.6037797504
278	0.6025288065
279	0.6011137896
280	0.5994004075
281	0.5974482572
282	0.5959205228
283	0.5943271572
284	0.5930518854
285	0.5915547372
286	0.5900009601
287	0.5880510933
288	0.5867212542
289	0.5852622563
290	0.5837885457
291	0.582033659
292	0.5802682593
293	0.5788335623
294	0.5771128204
295	0.575066429
296	0.5738467366
297	0.5713435681
298	0.5698858953
299	0.5684358839
300	0.5672306909
301	0.5647005787
302	0.5630895092
303	0.5615488535
304	0.5596839142
305	0.5576488719
306	0.5559567333
307	0.5553576882
308	0.5534643084
309	0.5520925714
310	0.5501383804
311	0.548150746
312	0.5469130166
313	0.5447886585
314	0.5430431064
315	0.5417414014
316	0.5398057309
317	0.537682523
318	0.5360066739
319	0.5344326873
320	0.5328892791
321	0.5313682446
322	0.5298569353
323	0.5287620331
324	0.527604576
325	0.5261342012
326	0.5245863389
327	0.5233429278
328	0.5218755895
329	0.520334846
330	0.5189286048
331	0.5171632931
332	0.516720913
333	0.5150596456
334	0.5134893323
335	0.5115349095
336	0.5103785649
337	0.5087694878
338	0.507164619
339	0.505611969
340	0.504607987
341	0.5027313288
342	0.5013465061
343	0.4996104863
344	0.4983124142
345	0.4968645911
346	0.4955384703
347	0.4946770553
348	0.4936957348
349	0.4921371832
350	0.4904505932
351	0.4894263389
352	0.4880352848
353	0.4869526321
354	0.4856573836
355	0.4843356143
356	0.4829247081
357	0.4818520436
358	0.4803376234
