iter	Passed	Remaining
0	131	131602
1	133	66504
2	135	44899
3	136	33991
4	139	27690
5	142	23571
6	144	20552
7	147	18266
8	149	16480
9	151	15020
10	153	13800
11	155	12773
12	156	11890
13	157	11123
14	159	10456
15	160	9873
16	161	9365
17	163	8904
18	164	8510
19	166	8147
20	167	7814
21	169	7513
22	170	7236
23	171	6982
24	172	6746
25	174	6528
26	175	6329
27	177	6148
28	178	5980
29	180	5830
30	182	5689
31	183	5551
32	185	5422
33	186	5303
34	188	5192
35	189	5085
36	191	4985
37	193	4889
38	194	4797
39	196	4717
40	198	4639
41	200	4563
42	202	4500
43	203	4430
44	205	4360
45	207	4295
46	207	4207
47	209	4148
48	210	4092
49	212	4042
50	214	3989
51	215	3936
52	217	3887
53	219	3841
54	220	3795
55	222	3752
56	224	3711
57	225	3668
58	227	3631
59	229	3593
60	231	3556
61	232	3519
62	234	3483
63	235	3450
64	237	3418
65	239	3386
66	240	3354
67	242	3324
68	244	3297
69	246	3268
70	247	3239
71	249	3213
72	251	3188
73	252	3161
74	254	3137
75	255	3111
76	257	3087
77	258	3050
78	260	3035
79	262	3013
80	263	2994
81	265	2973
82	267	2954
83	269	2933
84	270	2915
85	272	2896
86	275	2886
87	277	2872
88	278	2855
89	280	2837
90	282	2819
91	284	2803
92	286	2789
93	288	2776
94	290	2763
95	292	2755
96	294	2740
97	296	2725
98	297	2710
99	299	2696
100	301	2685
101	303	2671
102	305	2658
103	307	2648
104	309	2635
105	310	2622
106	313	2613
107	314	2600
108	316	2587
109	318	2574
110	319	2562
111	321	2551
112	323	2542
113	325	2531
114	327	2520
115	329	2508
116	330	2496
117	332	2487
118	334	2476
119	336	2465
120	338	2457
121	340	2450
122	342	2440
123	344	2431
124	345	2421
125	347	2412
126	349	2403
127	351	2394
128	353	2386
129	356	2383
130	357	2374
131	359	2365
132	361	2356
133	363	2347
134	364	2338
135	366	2330
136	368	2322
137	371	2317
138	373	2311
139	374	2302
140	376	2294
141	378	2286
142	380	2278
143	381	2270
144	383	2264
145	385	2256
146	388	2251
147	389	2243
148	391	2236
149	393	2228
150	394	2220
151	396	2213
152	398	2206
153	400	2198
154	402	2192
155	403	2185
156	405	2177
157	407	2170
158	408	2163
159	410	2155
160	412	2147
161	413	2140
162	415	2133
163	417	2126
164	419	2120
